geolocation,name,nametype,:@computed_region_nnqa_25f4,fall,year,recclass,reclat,reclong,id,mass,:@computed_region_cbhk_fwbd
"{'type': 'Point', 'coordinates': [-71.4, -31.01667]}",San Pedro de Quiles,Valid,,Fell,1956-01-01T00:00:00.000,L6,-31.016670,-71.400000,23130,282,
"{'type': 'Point', 'coordinates': [-100.65, 19.76667]}",San Pedro Jacuaro,Valid,,Fell,1968-01-01T00:00:00.000,LL6,19.766670,-100.650000,34063,460,
"{'type': 'Point', 'coordinates': [-51.86667, -29.2]}",Santa Barbara,Valid,,Fell,1873-01-01T00:00:00.000,L4,-29.200000,-51.866670,23161,400,
"{'type': 'Point', 'coordinates': [-99.33333, 24.16667]}",Santa Cruz,Valid,,Fell,1939-01-01T00:00:00.000,CM2,24.166670,-99.333330,23164,60,
"{'type': 'Point', 'coordinates': [-61.7, -33.9]}",Santa Isabel,Valid,,Fell,1924-01-01T00:00:00.000,L6,-33.900000,-61.700000,23165,5500,
"{'type': 'Point', 'coordinates': [-68.489444, -31.535556]}",Santa Lucia (2008),Valid,,Fell,2008-01-01T00:00:00.000,L6,-31.535556,-68.489444,50909,4000,
"{'type': 'Point', 'coordinates': [-49.38056, -20.81]}",São Jose do Rio Preto,Valid,,Fell,1962-01-01T00:00:00.000,H4,-20.810000,-49.380560,23171,927,
"{'type': 'Point', 'coordinates': [46.55, 52.55]}",Saratov,Valid,,Fell,1918-01-01T00:00:00.000,L4,52.550000,46.550000,23176,200000,
"{'type': 'Point', 'coordinates': [137.78333, 34.71667]}",Sasagase,Valid,,Fell,1688-01-01T00:00:00.000,H,34.716670,137.783330,23187,695,
"{'type': 'Point', 'coordinates': [-0.85, 43.15]}",Sauguis,Valid,,Fell,1868-01-01T00:00:00.000,L6,43.150000,-0.850000,23188,4000,
"{'type': 'Point', 'coordinates': [29.86667, 47.21667]}",Savtschenskoje,Valid,,Fell,1894-01-01T00:00:00.000,LL4,47.216670,29.866670,23190,2500,
"{'type': 'Point', 'coordinates': [139.4, 35.86667]}",Sayama,Valid,,Fell,1986-01-01T00:00:00.000,CM2,35.866670,139.400000,23192,430,
"{'type': 'Point', 'coordinates': [17.56667, 49.23333]}",Sazovice,Valid,,Fell,1934-01-01T00:00:00.000,L5,49.233330,17.566670,23455,412,
"{'type': 'Point', 'coordinates': [15.05, 53.35]}",Schellin,Valid,,Fell,1715-01-01T00:00:00.000,L,53.350000,15.050000,23457,7000,
"{'type': 'Point', 'coordinates': [-73.95028, 42.86083]}",Schenectady,Valid,2142,Fell,1968-01-01T00:00:00.000,H5,42.860830,-73.950280,23458,283.3,47
"{'type': 'Point', 'coordinates': [10.46667, 48.11667]}",Schönenberg,Valid,,Fell,1846-01-01T00:00:00.000,L6,48.116670,10.466670,23460,8000,
"{'type': 'Point', 'coordinates': [-69.2, 44.36667]}",Searsmont,Valid,1727,Fell,1871-01-01T00:00:00.000,H5,44.366670,-69.200000,23472,5400,49
